account no,name,age,balance,loan,marital,gender,education
15624592,Tan,31,0.0,no,married,Male,secondary
15573152,Glassman,41,0.0,no,divorced,Female,primary
15594917,Miller,34,63095.01,no,married,Female,secondary
15785542,Kornilova,26,118287.01,no,married,Male,primary
15723488,Watson,47,106854.21,no,married,Male,tertiary
15680920,Marchesi,46,49512.55,no,married,Male,unknown
15786308,Millar,33,0.0,no,married,Female,unknown
15659366,Shih,43,105799.32,no,married,Male,primary
15774854,Fuller,54,0.0,yes,married,Male,tertiary
15725311,Hay,31,114722.05,no,married,Female,secondary
15787155,Yang,30,0.0,no,married,Male,primary
15727829,McIntyre,42,0.0,no,divorced,Male,secondary
15733247,Stevenson,33,0.0,yes,married,Male,secondary
15568748,Poole,45,99564.22,no,divorced,Male,unknown
15699029,Bagley,37,170557.91,no,married,Male,primary
15774393,Ch'ien,30,0.0,no,married,Female,unknown
15676895,Cattaneo,39,74596.15,no,single,Female,tertiary
15637753,O'Sullivan,50,96888.39,no,married,Male,unknown
15605461,Lucas,29,130830.22,no,divorced,Female,secondary
15808473,Ringrose,72,0.0,no,married,Male,primary
15627000,Freeman,40,0.0,no,married,Male,secondary
15787174,Sergeyev,37,0.0,no,married,Female,secondary
15723886,Fiore,20,119714.25,no,married,Male,unknown
15704769,Smith,67,113978.97,no,married,Female,primary
15772896,Dumetochukwu,42,100160.75,no,married,Male,primary
15711540,Pacheco,29,0.0,no,divorced,Female,secondary
15764866,Synnot,43,116220.5,no,married,Female,primary
15794056,Johnston,46,0.0,no,divorced,Female,secondary
15795149,Stevens,28,81173.83,yes,divorced,Male,primary
15812009,Grant,38,0.0,yes,married,Male,secondary
15651001,Tsao,39,116803.8,no,married,Female,unknown
15813844,Barnes,37,105961.68,no,married,Male,secondary
15596175,McIntosh,67,117411.6,no,married,Male,secondary
15576269,Madison,34,0.0,no,married,Male,tertiary
15797219,Ifesinachi,40,123497.58,no,married,Female,unknown
15685500,Glazkov,26,152400.51,no,single,Male,secondary
15599792,Dimauro,26,0.0,no,married,Female,tertiary
15657566,Wieck,24,103097.85,no,married,Male,secondary
15772423,Liao,54,126418.14,no,married,Male,secondary
15628112,Hughes,36,77846.9,no,married,Female,secondary
15753754,Morrison,34,0.0,yes,married,Female,secondary
15793726,Matveyeva,79,0.0,no,single,Female,secondary
15694717,Ku,37,79731.91,no,divorced,Male,secondary
15665834,Cheatham,28,0.0,no,single,Male,tertiary
15765297,Yao,41,0.0,no,married,Male,primary
15636684,Kirkland,34,0.0,no,divorced,Male,secondary
15592979,Rose,34,37266.67,no,single,Female,secondary
15750803,Jess,30,127992.25,yes,married,Female,secondary
15607178,Welch,38,54901.01,no,married,Male,secondary
15713853,Ifeajuna,42,108748.08,no,married,Male,secondary
15673481,Morton,48,99906.19,no,single,Female,tertiary
15686776,Rossi,32,184686.41,no,married,Female,secondary
15673693,Reppert,26,110654.02,no,divorced,Female,tertiary
15700696,Kang,31,79019.8,no,married,Male,primary
15813163,Ch'iu,36,99240.51,no,single,Female,tertiary
15653857,Wallis,34,0.0,no,single,Male,tertiary
15777076,Clark,36,0.0,no,divorced,Male,secondary
15717398,Fielding,39,0.0,yes,married,Female,primary
15799217,Zetticci,35,52436.2,no,married,Female,primary
15787071,Dulhunty,41,0.0,yes,single,Male,tertiary
15619955,Bevington,34,100337.96,no,divorced,Male,primary
15796505,Boyle,34,149297.19,no,married,Female,secondary
15725166,Newton,30,0.0,no,divorced,Male,secondary
15800116,Bowman,28,145605.44,no,married,Male,secondary
15758685,Dubinina,37,0.0,no,married,Female,secondary
15694456,Toscani,62,0.0,no,divorced,Male,secondary
15767339,Chiazagomekpere,53,0.0,no,married,Female,secondary
15683562,Allen,35,84026.86,no,single,Male,secondary
15782210,K'ung,46,0.0,no,married,Male,tertiary
15668893,Wilsmore,39,0.0,no,married,Male,primary
15669169,Hargreaves,29,0.0,yes,married,Male,secondary
15643024,Huang,35,138718.92,no,married,Male,tertiary
15699389,Ch'ien,42,118274.71,no,married,Male,primary
15708608,Wallwork,22,174185.98,no,single,Female,secondary
15626144,Chu,40,113208.86,no,single,Male,secondary
15573112,Kang,29,103907.28,no,married,Male,secondary
15790678,Davidson,32,119023.28,no,single,Female,tertiary
15727556,O'Donnell,26,166297.89,no,married,Female,secondary
15697307,Nnachetam,34,0.0,no,married,Male,secondary
15652266,Chidiebele,42,63227.0,no,married,Male,tertiary
15607098,Ahmed,41,94521.17,no,single,Female,unknown
15655774,Booth,27,0.0,no,single,Male,secondary
15590241,Chuang,34,112822.26,no,married,Female,tertiary
15785819,Shao,38,0.0,no,married,Male,secondary
15723654,Tsao,25,135903.33,no,divorced,Male,primary
15774510,Tien,31,125169.26,no,single,Female,secondary
15684173,Chang,44,0.0,no,single,Female,secondary
15650068,Johnson,58,149117.31,no,divorced,Male,primary
15811490,French,33,0.0,no,married,Male,secondary
15803976,Efremov,31,0.0,no,married,Female,unknown
15682541,Hartley,36,132311.71,no,married,Female,secondary
15695699,Calabrese,35,0.0,no,married,Male,secondary
15624188,Chiu,33,0.0,no,single,Female,secondary
15812191,Brennan,33,118082.89,no,married,Male,unknown
15636673,Onwuatuegwu,31,119266.69,no,married,Male,secondary
15594898,Hewitt,43,0.0,no,married,Male,tertiary
15660211,Shih,35,156847.29,no,married,Male,secondary
15773972,Balashov,50,137104.47,yes,married,Male,secondary
15746726,Doyle,31,78398.69,no,married,Male,unknown
15712287,Pokrovskii,80,0.0,no,married,Female,secondary
15702919,Collins,30,63669.42,no,married,Male,unknown
15674398,Russo,38,0.0,yes,divorced,Male,primary
15797960,Skinner,59,135296.33,yes,divorced,Female,secondary
15631868,Robertson,36,153804.44,no,single,Male,tertiary
15581539,Atkinson,37,0.0,no,married,Male,secondary
15662736,Doyle,49,147069.78,yes,married,Male,secondary
15666252,Ritchie,42,0.0,no,single,Male,secondary
15677512,McEncroe,22,0.0,no,single,Female,primary
15626114,Pearson,24,95741.75,no,married,Male,secondary
15810834,Gordon,57,145965.33,no,married,Female,secondary
15678910,Ts'ai,30,141441.75,no,married,Female,unknown
15694408,Lung,40,139290.41,no,married,Male,secondary
15585215,Yuan,31,0.0,no,divorced,Female,tertiary
15682757,Pardey,30,0.0,no,single,Male,secondary
15736601,Tai,35,144428.87,no,single,Male,tertiary
15601848,Scott,35,0.0,no,single,Male,secondary
15736008,Hunter,46,95441.27,no,married,Female,tertiary
15669064,Mazzanti,35,144848.74,no,married,Male,unknown
15624528,L?,26,116244.14,no,married,Male,secondary
15598493,Beach,50,0.0,no,married,Male,secondary
15601274,Hsieh,40,146502.07,no,married,Female,unknown
15702669,Faulkner,44,117028.6,no,single,Male,secondary
15728669,Knowles,30,112013.81,no,single,Female,tertiary
15742668,Day,37,108269.37,no,divorced,Female,tertiary
15697441,Hsueh,29,182123.79,no,married,Male,secondary
15740476,Tsao,32,150923.74,no,single,Female,secondary
15648064,Kennedy,33,0.0,yes,married,Male,secondary
15636624,Nwabugwu,39,165272.13,no,single,Female,secondary
15807923,Young,39,115301.31,no,single,Female,secondary
15745844,Kerr,40,129502.49,no,single,Female,secondary
15786170,Tien,31,118342.26,no,divorced,Male,secondary
15681081,Marrero,47,0.0,no,divorced,Female,secondary
15684484,White,22,0.0,no,married,Male,primary
15785869,Pisano,25,0.0,no,married,Female,tertiary
15763859,Brown,43,0.0,no,married,Female,unknown
15658935,Freeman,34,106937.05,no,married,Female,secondary
15747358,Russell,59,170331.37,no,married,Male,primary
15735203,Seleznyov,32,114510.85,no,married,Female,tertiary
15576256,Yusupova,39,0.0,no,married,Male,tertiary
15659420,Foley,32,107594.11,no,single,Male,tertiary
15593365,Shih,39,81273.13,no,married,Male,secondary
15777352,Ikedinachukwu,32,169399.6,no,married,Female,secondary
15812007,Power,25,0.0,no,married,Male,secondary
15625461,Amos,45,187841.99,no,divorced,Female,unknown
15739438,Reed,30,0.0,no,single,Male,secondary
15611759,Simmons,57,126776.3,no,single,Female,secondary
15661629,Ricci,34,126436.29,no,single,Male,tertiary
15633950,Yen,41,101960.74,no,married,Male,secondary
15592386,Campbell,58,0.0,no,single,Male,tertiary
15803716,West,28,0.0,no,married,Male,tertiary
15696674,Robinson,45,150842.93,no,married,Female,secondary
15706365,Bianchi,50,102535.57,no,married,Female,secondary
15745088,Chen,29,99027.61,yes,married,Female,secondary
15676715,Madukaego,68,0.0,no,married,Male,secondary
15613085,Ibrahimova,33,0.0,no,married,Female,tertiary
15633537,Nolan,42,87271.41,no,divorced,Female,secondary
15594720,Scott,35,102742.91,no,divorced,Female,tertiary
15684042,Blair,34,40105.51,no,divorced,Male,tertiary
15583303,Monaldo,29,152265.43,no,single,Female,secondary
15611579,Sutherland,42,141947.67,no,married,Male,secondary
15774696,Cole,75,106307.91,yes,married,Female,secondary
15694506,Briggs,31,107884.81,no,married,Male,secondary
15688074,Gregory,31,125013.72,no,single,Male,secondary
15759537,Bianchi,35,58469.37,no,married,Male,unknown
15758449,Angelo,39,0.0,no,single,Female,secondary
15583456,Gardiner,45,117231.63,no,single,Male,secondary
15667871,Kerr,35,152390.26,no,married,Male,primary
15677371,Ko,30,34013.63,no,married,Female,tertiary
15629677,Distefano,39,0.0,no,married,Female,secondary
15713578,Farrell,50,0.0,no,married,Female,secondary
15591509,Milano,36,101583.11,yes,married,Male,secondary
15568240,Ting,30,77168.87,no,married,Female,secondary
15622993,Boyd,28,124695.72,no,married,Male,unknown
15689294,Onyemaechi,44,105934.96,no,married,Male,secondary
15720910,Black,66,0.0,yes,married,Female,secondary
15721181,Oliver,46,0.0,no,married,Male,unknown
15776433,Greco,62,0.0,no,married,Male,secondary
15748936,Whitehead,45,0.0,yes,married,Female,tertiary
15717225,Ikemefuna,21,161525.96,no,divorced,Female,unknown
15685226,Morrison,29,147199.07,no,divorced,Female,secondary
15785611,Onyeoruru,38,183102.29,no,married,Male,tertiary
15573456,Cunningham,46,127209.0,no,divorced,Male,tertiary
15684548,Demidov,38,0.0,no,married,Male,secondary
15620505,Celis,24,97378.54,no,married,Female,secondary
15807432,Cheng,37,136925.09,yes,single,Female,secondary
15584766,Knight,33,54503.55,no,single,Male,secondary
15612187,Morin,32,155726.85,no,married,Male,secondary
15762218,Mills,39,0.0,yes,married,Female,secondary
15646372,Outhwaite,66,135842.41,no,married,Female,primary
15690452,Tung,52,63349.75,no,married,Male,primary
15747795,Pai,38,129499.42,yes,married,Female,secondary
15781589,Carpenter,52,0.0,no,single,Male,tertiary
15732674,Fennell,36,70438.01,no,married,Male,secondary
15642291,Fontaine,23,0.0,no,married,Male,unknown
15692761,Pratt,36,0.0,no,married,Male,tertiary
15578045,Mitchell,49,141434.04,no,married,Female,tertiary
15745354,Franklin,37,0.0,no,divorced,Female,primary
15701376,K'ung,37,152958.29,no,married,Male,secondary
15691625,Ko,41,138306.34,no,married,Female,secondary
15566594,McKenzie,23,0.0,no,single,Male,secondary
15760431,Pino,38,0.0,no,married,Male,primary
15686302,Fisk,31,124328.84,no,single,Female,secondary
15801559,Chiang,41,181461.48,no,married,Female,secondary
15810432,Moseley,35,0.0,no,married,Male,tertiary
15809616,Hsiung,26,0.0,no,divorced,Male,secondary
15720559,Heath,61,110368.03,no,married,Female,secondary
15695632,Dellucci,39,89588.35,no,married,Female,secondary
15659843,Li,46,0.0,yes,divorced,Female,primary
15615624,De Salis,28,0.0,no,married,Female,secondary
15810418,T'ang,60,115924.89,no,single,Female,tertiary
15716186,Richardson,38,0.0,no,single,Female,tertiary
15674551,Fitch,40,111756.5,no,single,Male,secondary
15622834,Stevenson,35,0.0,no,married,Female,secondary
15566111,Estes,39,0.0,no,single,Male,tertiary
15784597,Lattimore,26,162923.85,no,married,Male,secondary
15652883,Chung,39,124576.65,no,married,Male,secondary
15806964,Utz,45,80793.58,no,married,Male,primary
15576313,Wei,40,71340.09,no,single,Female,tertiary
15806467,Boyle,40,99282.63,no,married,Male,secondary
15597602,Nwachinemelu,57,137946.39,no,married,Male,secondary
15743040,Kuznetsova,41,127892.57,no,married,Male,tertiary
15705521,Pisani,33,101084.36,no,married,Female,secondary
15595039,Manna,37,114754.08,no,married,Female,primary
15799384,Collier,33,0.0,no,married,Male,secondary
15581197,Ricci,51,99286.98,no,married,Female,secondary
15693737,Carr,30,79871.02,no,married,Female,secondary
15624623,Hs?,35,104088.59,no,single,Male,tertiary
15783501,Findlay,38,168190.33,no,divorced,Female,secondary
15690134,Hughes,42,85679.25,no,married,Female,secondary
15782735,Chukwuemeka,35,0.0,no,married,Female,primary
15611088,Genovese,31,0.0,no,single,Female,tertiary
15672145,Swift,34,121551.58,no,married,Female,secondary
15732628,Ugoji,46,122220.19,no,single,Male,secondary
15787470,Parkinson,47,116528.15,no,married,Male,secondary
15803406,Ross,26,77780.29,no,divorced,Female,secondary
15730460,Oleary,37,0.0,no,single,Male,unknown
15644572,Turnbull,40,125832.2,no,married,Male,unknown
15694860,Uspensky,38,68065.8,no,single,Female,secondary
15658169,Cook,47,127299.34,no,married,Female,unknown
15794396,Newbold,38,174937.64,no,married,Female,secondary
15785798,Uchechukwu,40,0.0,no,married,Male,secondary
15710825,Ch'en,31,110071.1,no,divorced,Male,unknown
15668444,He,44,139432.37,yes,married,Female,tertiary
15726631,Hilton,39,127357.76,yes,married,Female,secondary
15733797,Sal,36,0.0,yes,married,Male,secondary
15747960,Eluemuno,33,0.0,yes,single,Male,secondary
15634632,Titus,38,0.0,no,married,Male,secondary
15707362,Yin,43,95556.31,no,single,Male,secondary
15662976,Lettiere,37,0.0,no,married,Male,secondary
15732778,Templeman,29,111681.98,no,divorced,Male,secondary
15718443,Chibuzo,39,0.0,no,married,Male,primary
15670039,Sun,25,108738.71,no,married,Female,secondary
15773792,Evans,32,133950.37,no,married,Female,primary
15613786,Ogbonnaya,26,0.0,no,single,Male,primary
15726032,Enyinnaya,33,89968.69,yes,single,Male,secondary
15663252,Olisanugo,32,0.0,no,single,Female,secondary
15593782,Brookes,38,130878.75,no,married,Female,primary
15633283,Padovano,35,0.0,no,married,Male,secondary
15749167,Fisk,35,0.0,no,married,Male,tertiary
15759298,Shih,27,134169.62,no,divorced,Male,secondary
15683625,Hare,37,149762.08,no,single,Male,primary
15635367,Muir,26,93844.69,no,married,Male,unknown
15681705,Fanucci,28,0.0,no,married,Male,secondary
15603156,Elewechi,33,0.0,no,married,Female,secondary
15591986,Johnston,46,141078.37,no,married,Male,primary
15798888,Pisano,31,117992.59,no,married,Female,tertiary
15809722,Ankudinov,40,100812.33,no,single,Female,secondary
15677538,Nwokike,38,0.0,no,single,Male,secondary
15797736,Smith,29,80262.6,no,single,Male,secondary
15695585,Atkins,34,156478.62,no,married,Male,primary
15744398,Burns,23,0.0,no,married,Female,secondary
15750658,Obiuto,37,0.0,yes,married,Male,secondary
15578186,Pirozzi,37,115217.99,no,married,Male,secondary
15676519,George,61,0.0,no,single,Male,secondary
15637954,Lewis,35,155470.55,no,divorced,Female,primary
15758639,Moran,37,0.0,yes,divorced,Male,secondary
15613772,Dalrymple,39,135096.77,yes,divorced,Male,tertiary
15731744,Carslaw,30,0.0,no,married,Male,unknown
15807709,Kirby,55,180075.22,no,married,Female,primary
15714689,Houghton,29,97541.24,no,married,Male,secondary
15699005,Martin,41,156067.05,no,married,Female,secondary
15624170,Tan,38,81550.94,no,married,Female,secondary
15725679,Hsia,47,0.0,no,married,Female,tertiary
15585865,Westerberg,38,170061.92,no,divorced,Female,secondary
15804256,Hale,36,92310.54,no,single,Male,secondary
15662403,Kryukova,32,169089.38,no,divorced,Female,secondary
15733616,Sopuluchukwu,40,80613.93,no,divorced,Male,secondary
15591995,Barry,26,121581.56,no,married,Male,secondary
15677020,Selezneva,58,0.0,no,single,Female,secondary
15727688,Chizuoke,32,0.0,yes,married,Male,primary
15715941,Lueck,54,0.0,no,single,Male,unknown
15714485,Udinese,60,85891.55,yes,single,Male,tertiary
15730059,Udobata,44,77637.35,no,married,Male,secondary
15715527,Freeman,41,0.0,no,married,Female,secondary
15576623,Outlaw,31,0.0,no,married,Male,primary
15805565,Obiuto,30,116927.89,no,divorced,Male,secondary
15677307,Lo,40,137326.65,no,single,Female,secondary
15773890,Okechukwu,22,0.0,no,married,Male,secondary
15598883,King,37,0.0,no,single,Female,secondary
15568506,Forbes,31,67238.98,no,married,Female,secondary
